['5566']
42
38
33
40
38
41
56
49
42
48
41
53
58
55
56
36
47
49
36
47
37
31
47
37
48
51
44
42
29
49
41
35
37
39
53
45
28
45
51
40
32
35
32
53
33
57
44
39
45
47
51
41
26
38
47
45
39
40
45
24
39
41
52
39
48
46
41
82
67
40
45
35
93
72
59
100
46
52
50
60
45
44
48
37
41
42
48
44
65
55
46
38
40
37
36
39
63
40
51
40
52
97
81
65
47
54
57
41
58
75
57
50
51
40
41
47
51
58
44
59
40
48
34
47
58
47
43
46
35
48
44
44
44
54
43
49
47
47
30
40
27
36
29
39
50
37
46
37
32
52
40
49
49
42
33
43
34
44
43
47
47
55
39
34
45
30
40
49
44
45
40
31
44
33
40
31
34
39
30
49
48
41
31
38
33
50
22
27
33
25
50
41
40
41
30
30
21
40
38
42
48
30
37
33
31
58
43
44
27
34
40
47
32
27
30
44
34
36
41
43
41
33
28
22
41
44
33
41
34
33
44
29
34
34
44
50
22
26
40
35
48
34
34
49
27
26
30
31
44
40
36
46
41
31
57
40
31
32
41
46
17
15
14
15
18
19
17
12
12
8
10
13
12
14
14
8
11
14
13
14
17
12
13
11
9
13
14
11
12
11
8
10
12
14
11
10
9
10
10
14
16
10
8
11
10
10
100
2
1
1
2
1
1
2
3
2
2
2
1
2
1
1
2
2
1
1
2
2
2
1
2
1
1
2
2
2
2
1
1
1
1
1
1
1
1
2
2
1
1
1
2
1
1
1
1
2
1
1
2
1
2
1
1
1
2
1
2
1
1
1
1
1
2
1
1
1
2
1
1
2
2
1
2
1
1
1
2
1
2
2
1
2
1
2
2
1
2
2
1
1
1
1
2
1
2
2
1
1
1
1
1
2
2
2
1
1
2
2
2
2
1
1
1
2
2
1
2
2
2
1
1
1
1
2
1
1
1
1
1
2
1
2
2
2
2
2
2
2
2
2
2
1
1
1
2
1
1
2
1
1
1
1
2
2
1
1
1
1
1
2
1
2
2
2
3
2
3
2
2
3
3
3
3
4
6
6
7
7
5
5
4
9
9
11
16
10
13
11
14
15
20
17
13
13
15
15
17
25
27
18
21
17
20
22
100
55
23
14
8
7
7
7
6
4
3
5
4
4
5
7
5
4
4
3
4
4
5
3
3
3
2
3
3
3
3
6
3
3
3
4
5
4
4
