[,',3,C,',]
94,,,,,
87,,,,,
100,,,,,
90,,,,,
83,,,,,
94,,,,,
88,,,,,
89,,,,,
85,,,,,
87,,,,,
80,,,,,
81,,,,,
82,,,,,
87,,,,,
87,,,,,
82,,,,,
79,,,,,
83,,,,,
75,,,,,
83,,,,,
93,,,,,
88,,,,,
85,,,,,
85,,,,,
75,,,,,
68,,,,,
78,,,,,
87,,,,,
81,,,,,
93,,,,,
86,,,,,
86,,,,,
75,,,,,
76,,,,,
83,,,,,
85,,,,,
84,,,,,
76,,,,,
74,,,,,
67,,,,,
74,,,,,
73,,,,,
72,,,,,
79,,,,,
83,,,,,
73,,,,,
62,,,,,
97,,,,,
92,,,,,
84,,,,,
86,,,,,
84,,,,,
92,,,,,
88,,,,,
87,,,,,
84,,,,,
86,,,,,
85,,,,,
77,,,,,
79,,,,,
92,,,,,
88,,,,,
92,,,,,
91,,,,,
82,,,,,
84,,,,,
82,,,,,
88,,,,,
89,,,,,
90,,,,,
92,,,,,
89,,,,,
93,,,,,
90,,,,,
100,,,,,
92,,,,,
95,,,,,
86,,,,,
84,,,,,
80,,,,,
85,,,,,
89,,,,,
89,,,,,
87,,,,,
96,,,,,
88,,,,,
81,,,,,
87,,,,,
86,,,,,
84,,,,,
87,,,,,
83,,,,,
85,,,,,
84,,,,,
85,,,,,
83,,,,,
83,,,,,
78,,,,,
74,,,,,
80,,,,,
78,,,,,
77,,,,,
88,,,,,
79,,,,,
92,,,,,
87,,,,,
82,,,,,
81,,,,,
83,,,,,
85,,,,,
92,,,,,
81,,,,,
85,,,,,
81,,,,,
80,,,,,
89,,,,,
94,,,,,
88,,,,,
88,,,,,
90,,,,,
79,,,,,
74,,,,,
71,,,,,
82,,,,,
88,,,,,
89,,,,,
85,,,,,
85,,,,,
84,,,,,
84,,,,,
86,,,,,
77,,,,,
82,,,,,
82,,,,,
82,,,,,
83,,,,,
77,,,,,
91,,,,,
81,,,,,
79,,,,,
82,,,,,
86,,,,,
75,,,,,
81,,,,,
89,,,,,
84,,,,,
84,,,,,
88,,,,,
83,,,,,
79,,,,,
84,,,,,
83,,,,,
92,,,,,
87,,,,,
81,,,,,
78,,,,,
83,,,,,
87,,,,,
85,,,,,
87,,,,,
84,,,,,
90,,,,,
80,,,,,
86,,,,,
77,,,,,
87,,,,,
90,,,,,
87,,,,,
85,,,,,
83,,,,,
73,,,,,
83,,,,,
87,,,,,
93,,,,,
87,,,,,
89,,,,,
80,,,,,
83,,,,,
91,,,,,
84,,,,,
86,,,,,
86,,,,,
99,,,,,
93,,,,,
91,,,,,
88,,,,,
84,,,,,
86,,,,,
84,,,,,
81,,,,,
76,,,,,
77,,,,,
77,,,,,
83,,,,,
86,,,,,
75,,,,,
74,,,,,
76,,,,,
77,,,,,
77,,,,,
83,,,,,
81,,,,,
80,,,,,
76,,,,,
