['4minute']
67
59
60
76
85
71
64
52
52
59
100
90
88
73
66
55
70
79
70
71
77
65
58
62
63
76
61
51
53
67
68
72
98
82
70
68
68
62
70
71
74
72
75
69
65
80
78
12
13
13
14
15
16
12
11
12
13
14
14
14
15
13
13
13
13
16
15
11
12
12
11
12
15
14
11
10
10
11
12
15
15
11
11
11
11
11
12
13
10
10
9
9
10
12
13
8
10
8
10
10
11
12
8
9
9
9
9
11
11
10
10
8
8
9
11
11
8
9
8
9
9
11
9
10
8
8
8
9
12
12
9
9
8
9
9
12
11
100
39
26
29
26
30
24
18
15
11
13
12
13
12
9
10
10
11
11
12
12
10
9
10
10
9
9
9
9
8
8
8
9
10
11
9
8
9
8
8
10
10
9
8
9
8
10
10
12
10
13
10
8
8
10
9
8
8
8
6
8
9
9
7
6
8
7
8
7
7
5
6
7
7
6
7
6
5
6
5
6
6
7
8
6
7
5
5
6
8
9
7
5
4
6
7
7
6
4
5
6
6
6
6
8
5
6
6
6
6
9
6
5
5
5
5
6
6
6
5
5
5
4
5
7
6
5
4
5
5
5
6
6
3
4
6
5
6
7
7
4
5
7
5
6
6
6
5
4
4
4
6
6
7
5
5
15
16
13
19
18
18
17
15
16
17
16
22
19
13
14
14
14
15
16
15
16
15
16
13
15
19
16
13
15
13
15
15
16
15
15
14
13
14
15
20
18
17
15
18
16
17
20
18
15
15
16
14
20
19
19
15
13
14
15
15
19
19
13
12
12
14
12
13
15
13
12
12
10
12
17
15
11
13
11
12
14
14
14
11
13
13
16
15
20
19
13
14
12
15
15
21
18
13
11
13
10
14
25
20
16
14
14
12
14
16
14
12
13
13
13
14
14
15
14
12
11
10
12
15
12
10
14
12
12
15
19
16
13
11
15
15
13
15
14
13
11
11
11
11
15
15
10
10
10
12
11
12
16
11
11
12
13
11
15
16
10
11
14
13
11
14
14
11
10
13
12
13
17
14
11
11
14
15
14
16
17
14
15
14
16
17
14
16
11
12
13
10
12
16
15
11
11
11
12
12
16
14
12
13
13
16
16
20
17
16
15
16
15
18
22
32
100
80
64
61
58
61
55
43
35
39
37
39
42
44
33
31
29
29
31
39
39
25
26
29
28
27
35
34
23
23
24
24
24
31
31
21
22
21
21
21
28
29
20
21
