2NE1
69
80
100
63
65
57
60
61
57
67
66
59
57
63
63
68
74
65
63
69
62
63
69
59
54
58
56
60
63
63
60
57
59
57
57
55
56
56
65
64
66
56
61
50
53
55
57
90
81
86
87
86
91
74
76
79
73
74
91
100
73
77
72
73
67
77
74
80
97
96
87
93
91
88
75
78
75
71
77
83
81
74
70
71
71
75
75
85
63
63
69
67
72
72
75
67
69
68
60
70
83
92
87
68
68
66
67
82
75
66
61
64
87
73
70
82
59
59
64
62
62
60
69
60
61
63
61
56
64
66
56
55
61
56
54
65
61
60
65
61
62
56
68
65
62
65
66
76
75
71
69
58
71
67
64
65
66
72
59
73
77
68
70
76
72
58
64
61
69
67
71
63
55
56
56
60
58
61
63
54
62
61
80
56
60
59
53
52
57
55
50
56
55
49
46
46
49
47
48
54
49
49
47
51
43
54
53
49
49
53
52
54
56
56
58
70
62
52
48
54
52
50
50
51
54
57
53
64
58
52
51
60
65
58
59
57
74
63
57
57
62
55
49
53
48
52
52
61
64
50
54
60
58
56
66
57
49
51
52
48
50
55
56
51
53
52
60
51
50
49
48
51
46
55
49
52
53
47
44
49
49
54
59
51
45
54
49
46
46
45
56
46
47
52
62
48
47
52
49
50
51
45
49
46
47
54
53
52
48
44
48
54
50
47
50
45
49
49
48
51
47
46
48
50
47
48
47
51
48
48
50
50
52
59
51
50
48
47
55
56
52
54
48
49
47
55
69
67
60
59
68
59
67
68
63
57
59
59
56
66
70
66
60
57
55
54
51
62
62
53
53
56
56
55
61
67
54
50
49
57
51
63
54
46
49
48
56
50
60
58
49
54
50
57
52
55
75
53
57
55
59
67
84
67
52
53
56
52
51
53
54
48
69
49
52
49
49
45
49
50
49
47
49
58
58
51
55
44
51
55
52
55
51
48
52
54
48
48
53
46
51
43
50
51
51
51
49
47
50
47
48
48
61
87
53
52
57
67
49
48
49
50
46
46
43
43
45
45
48
54
51
53
47
49
51
54
48
47
51
64
61
51
57
55
58
61
66
68
80
89
73
70
65
74
67
59
58
69
66
64
64
71
65
65
55
59
67
75
63
57
61
54
57
57
57
54
49
50
53
52
51
56
52
52
65
62
52
51
52
52
57
59
74
70
71
65
64
56
57
56
55
52
43
49
50
53
43
58
100
53
51
43
54
