['All your base are belong to us']
31
28
29
30
19
41
29
24
44
61
32
49
17
20
48
39
19
47
33
44
36
29
24
34
20
25
29
24
38
43
31
35
29
52
29
38
26
27
38
14
33
26
26
33
44
45
40
22
29
29
27
20
39
20
56
36
33
36
39
23
25
28
39
33
28
31
30
40
34
19
50
27
15
41
34
46
37
41
31
44
46
32
51
29
17
29
57
46
34
25
22
29
36
27
23
40
43
29
32
48
33
31
41
23
24
54
30
35
57
18
49
42
54
31
29
32
27
18
28
41
52
30
26
18
27
44
28
24
29
21
30
36
25
36
38
54
27
18
18
28
18
34
10
22
19
22
37
24
24
24
22
28
28
14
19
19
28
96
44
23
19
19
31
23
29
24
38
15
38
28
23
39
29
29
15
35
25
23
100
21
26
23
34
28
41
36
23
36
51
27
32
30
13
39
11
32
17
17
17
26
20
25
24
27
33
40
23
23
42
27
34
22
25
28
23
25
26
29
39
33
28
34
34
24
25
26
30
28
14
11
25
23
32
33
19
20
19
38
31
37
32
13
14
38
29
17
28
76
72
33
59
58
27
67
56
33
37
54
61
41
42
57
43
53
40
29
32
56
34
35
44
54
19
41
45
46
47
45
46
36
52
40
45
62
43
52
30
22
29
25
25
100
43
56
39
31
42
37
32
73
34
51
52
36
26
31
26
70
57
58
51
50
28
55
52
52
44
73
21
26
51
52
43
44
36
36
68
56
60
39
53
36
36
26
43
43
56
43
36
52
50
47
47
52
30
44
61
35
54
46
76
47
35
40
20
29
45
46
64
48
40
35
43
49
49
88
43
34
52
24
24
41
70
47
34
85
36
53
58
42
22
10
29
52
40
65
70
47
48
33
44
48
40
40
38
48
72
54
28
36
28
54
47
46
36
56
64
32
38
33
23
52
68
36
49
59
29
38
56
59
32
44
58
33
37
51
44
33
37
42
37
18
32
67
36
36
50
32
14
28
63
80
45
30
23
45
31
31
44
60
67
47
46
32
20
32
72
54
61
50
28
41
33
30
31
40
29
30
43
63
41
33
10
20
39
43
45
49
28
30
10
26
30
31
39
22
29
19
33
46
76
34
44
63
33
43
46
13
26
48
58
24
50
42
50
9
26
29
24
17
42
38
55
35
25
39
38
34
25
25
26
33
24
29
54
29
38
47
24
33
25
37
29
38
26
19
14
40
32
24
33
43
29
9
46
29
100
29
30
44
23
66
41
