['Android']
72
71
72
73
79
79
72
72
73
74
75
82
81
72
73
74
74
75
81
81
75
74
74
75
74
81
82
74
75
74
76
82
86
86
79
77
78
79
82
87
100
92
85
85
84
83
82
72
71
71
73
80
82
74
74
75
76
81
83
83
76
72
72
72
72
79
78
68
69
71
71
73
79
78
69
70
69
70
73
77
77
68
70
70
71
71
78
77
68
69
69
71
71
77
77
69
68
68
70
70
76
75
67
68
69
69
70
75
76
69
69
71
72
73
77
78
68
69
69
71
71
76
74
70
69
69
69
70
76
77
68
69
69
71
72
77
77
69
69
70
69
73
78
78
69
69
69
70
69
75
76
68
70
70
71
73
78
79
73
71
83
84
84
91
91
88
94
97
95
94
100
100
87
88
87
88
88
93
95
85
84
81
81
82
86
89
80
79
81
91
84
89
87
78
77
78
75
76
80
80
72
71
71
69
71
77
78
72
77
76
77
77
82
83
73
73
71
72
73
79
80
71
70
72
72
72
79
80
71
71
71
71
72
77
77
67
68
69
68
70
77
76
67
67
67
67
68
74
74
65
67
68
67
67
75
75
66
66
69
66
68
74
73
65
65
66
66
67
73
73
64
65
65
65
66
71
71
64
65
65
63
65
71
70
64
63
55
62
65
70
71
63
64
74
75
74
78
83
85
73
74
75
75
77
83
84
74
76
74
75
77
82
84
73
74
76
75
77
84
85
76
78
77
77
79
83
84
73
74
74
75
77
83
85
75
77
77
80
78
84
85
76
78
75
74
74
81
84
71
73
71
71
74
82
82
70
71
72
74
73
82
83
75
71
72
74
76
84
82
71
74
77
76
76
84
83
72
75
74
76
77
83
84
70
73
75
72
74
82
81
73
75
76
74
74
82
84
74
73
73
74
74
82
80
70
70
71
70
74
80
80
69
71
71
72
73
78
80
72
69
69
69
70
79
78
69
69
69
68
68
75
76
67
67
67
68
70
77
78
67
68
69
69
71
78
77
67
67
66
68
69
78
78
67
70
70
72
70
79
78
67
71
71
73
75
83
82
74
76
81
86
100
94
91
82
82
82
80
79
80
77
70
69
71
68
68
75
73
65
65
65
64
66
73
73
65
65
65
66
68
73
73
63
65
66
65
67
72
72
64
65
65
65
66
73
73
63
65
64
66
67
72
72
64
64
65
67
66
73
74
64
65
63
65
65
72
72
63
63
63
62
64
71
69
61
61
63
65
67
73
71
62
63
