['BIGBANG']
25
23
23
27
38
34
26
25
25
26
30
36
34
25
25
24
25
31
35
33
26
26
26
26
30
35
46
83
100
66
54
48
52
56
44
42
42
46
44
45
44
41
44
52
55
53
42
54
53
52
57
60
58
53
50
51
54
54
60
60
49
47
47
45
52
60
62
51
49
43
46
45
56
55
44
42
42
45
44
58
56
44
45
44
48
58
68
63
46
48
50
50
59
62
64
49
51
52
53
51
60
58
47
44
44
46
50
61
60
45
47
42
43
47
52
52
42
41
48
57
58
66
64
49
46
54
50
51
56
58
45
46
45
45
47
56
54
48
43
44
47
45
52
57
45
43
43
46
49
53
53
41
51
51
51
55
64
59
49
47
41
47
49
69
57
45
45
45
50
50
55
55
48
49
49
55
49
60
57
51
48
54
67
85
99
100
72
64
59
56
58
58
55
49
44
50
47
46
51
50
44
46
52
57
54
61
54
45
46
46
44
47
71
66
49
50
45
46
45
55
58
43
40
44
44
49
60
56
46
41
38
37
40
52
60
50
40
38
39
38
46
43
36
35
36
37
40
49
47
38
38
34
38
40
46
44
40
35
35
37
35
46
41
34
35
39
37
41
54
47
38
42
39
49
43
47
44
40
44
40
52
60
82
81
61
57
42
55
48
57
55
50
50
77
100
75
67
69
64
51
47
46
47
55
61
62
47
46
44
41
43
50
46
41
42
40
41
47
52
49
41
40
42
54
56
68
65
53
76
92
71
67
70
88
57
52
49
47
46
54
53
43
50
43
42
44
58
53
42
38
38
40
44
51
45
35
35
35
36
35
42
39
35
31
31
31
33
39
37
29
30
29
30
30
40
39
31
33
33
42
43
50
46
38
34
39
39
35
45
44
36
35
35
36
37
42
41
36
35
37
36
36
43
40
32
33
33
34
35
40
40
32
28
31
30
32
38
38
31
36
37
33
34
45
49
37
37
37
51
50
56
56
42
34
36
37
43
50
48
37
38
33
34
35
43
45
33
37
51
57
53
59
57
40
38
40
37
38
44
42
34
35
34
32
36
40
39
32
33
35
37
42
39
37
34
34
35
41
45
41
37
32
35
35
33
39
47
46
37
31
31
29
32
37
37
27
26
33
33
31
37
36
28
28
30
28
35
41
36
32
37
40
40
75
76
66
54
49
45
47
44
50
47
38
35
38
38
40
49
51
39
44
51
50
41
51
50
35
36
37
36
41
48
58
44
39
38
37
35
43
42
34
34
