['B-PROJECT']
4
2
2
5
4
2
2
3
3
2
4
2
23
7
7
3
5
5
3
6
3
4
7
4
3
4
3
2
3
4
4
2
3
8
2
2
2
4
3
3
4
2
4
2
1
3
1
3
2
2
2
1
3
2
3
9
7
2
3
3
5
3
3
2
1
1
2
3
5
2
1
2
4
3
6
4
2
3
2
4
4
7
1
2
4
3
4
7
5
5
7
3
4
3
5
2
6
3
4
4
7
7
9
24
12
13
11
17
20
100
85
47
39
36
26
27
55
58
26
23
15
21
18
39
34
28
17
19
22
15
26
52
21
25
24
22
21
38
38
29
16
18
18
21
36
37
30
22
29
14
21
29
29
21
20
16
14
20
25
31
21
22
15
18
17
28
24
26
14
16
15
17
26
29
23
16
11
11
17
28
26
16
12
17
15
14
20
28
12
15
12
15
16
24
41
21
15
18
16
12
16
20
11
11
13
11
16
16
13
9
11
7
6
7
10
13
10
7
7
9
10
12
9
9
8
9
8
13
9
12
6
8
8
8
7
11
11
9
7
5
6
7
8
10
4
8
51
49
29
55
73
100
63
61
64
47
60
57
76
31
48
37
36
44
36
50
27
46
47
27
52
76
55
45
24
47
34
44
50
58
54
53
82
65
58
85
85
76
60
67
63
54
61
0
0
0
0
0
0
0
8
8
0
0
0
0
0
0
8
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
8
0
0
0
0
0
8
0
0
0
0
0
8
0
13
0
0
15
7
15
0
43
13
9
0
11
11
7
100
84
55
31
14
15
22
15
23
25
17
11
18
12
13
17
13
7
11
15
0
12
9
8
7
7
12
7
11
0
0
14
11
14
18
7
8
0
7
9
16
7
15
17
8
32
7
7
7
15
11
8
12
14
12
12
15
14
11
9
14
11
16
22
17
30
16
14
15
17
27
8
25
21
12
21
10
12
0
24
9
23
26
24
32
17
29
16
12
10
17
17
25
29
14
12
9
26
17
29
41
30
15
10
15
8
17
20
15
11
24
18
26
15
9
15
12
8
17
14
18
9
8
8
12
15
16
17
25
12
7
15
10
23
9
8
10
15
19
8
12
20
25
10
19
15
10
16
13
13
12
15
11
10
26
22
26
8
19
15
22
39
28
25
15
17
15
29
15
25
22
19
15
17
22
30
30
17
7
22
14
10
33
25
16
15
22
24
20
39
89
39
36
41
