['As One']
85
82
78
72
51
62
78
70
55
46
43
44
55
86
91
88
86
85
58
71
100
97
93
91
78
57
61
88
88
82
78
67
49
51
59
56
53
46
43
38
34
37
41
41
44
41
40
86
81
83
75
57
69
88
87
81
81
62
60
61
94
84
86
86
77
62
70
97
95
89
89
81
61
79
100
96
90
89
79
63
70
99
96
89
92
83
63
75
92
93
87
89
79
62
67
90
89
81
92
73
54
62
86
82
76
71
71
48
59
76
71
73
75
70
49
60
70
70
72
68
60
48
53
53
65
62
60
58
51
55
65
69
64
60
59
50
56
67
62
61
61
55
53
57
64
61
58
62
57
48
56
60
59
61
58
51
45
51
52
51
55
55
59
49
54
57
53
48
51
51
47
53
60
59
57
58
54
48
52
53
53
52
57
55
47
50
53
51
54
52
46
43
44
55
48
52
49
43
41
43
47
44
43
47
45
39
43
51
53
52
59
54
46
53
65
69
68
66
63
53
58
67
75
79
79
70
58
68
80
80
76
82
72
61
71
83
78
87
84
75
54
69
86
86
80
82
75
54
63
86
81
83
85
73
57
66
79
85
84
86
78
65
78
89
88
79
82
71
54
68
89
89
84
83
72
51
65
88
85
91
84
81
57
70
93
86
75
88
74
60
65
91
93
48
42
44
39
38
37
43
42
45
46
42
40
41
44
46
44
44
44
39
44
48
47
46
46
43
39
44
43
46
46
44
42
39
42
47
44
44
43
41
37
43
45
44
45
44
42
40
41
44
41
44
45
47
39
42
47
51
52
52
50
41
49
56
58
56
56
56
47
47
52
61
67
63
60
53
61
67
69
68
69
63
49
61
70
70
67
65
63
49
61
72
68
69
67
63
47
58
71
69
68
67
60
52
61
70
69
64
69
63
47
56
73
70
68
66
62
48
56
72
72
69
68
63
45
56
75
72
72
67
66
50
59
77
72
61
70
66
52
63
77
75
71
71
66
46
56
70
64
52
41
46
46
52
73
73
72
70
69
51
61
77
76
72
71
65
49
51
65
63
62
60
51
38
43
46
43
40
34
37
38
38
40
40
41
41
39
45
47
56
60
63
62
59
44
48
61
67
68
67
64
49
56
62
69
72
78
73
56
64
77
77
82
78
73
61
67
86
83
83
82
76
56
71
93
87
82
85
75
56
66
79
80
85
82
78
56
71
92
87
84
86
80
58
73
100
89
86
88
77
58
64
91
87
79
83
72
55
65
85
78
