['BEAST']
26
25
25
27
32
32
27
27
27
27
30
31
31
29
26
26
27
27
31
32
28
27
27
27
28
31
31
30
28
27
27
27
30
31
26
29
29
27
30
32
32
28
26
27
27
28
30
32
28
25
26
27
27
31
31
27
27
27
26
28
31
32
30
28
28
28
28
32
35
87
81
63
51
44
45
46
39
35
32
33
35
40
41
37
35
34
34
34
38
38
32
30
32
30
32
35
37
30
29
30
31
31
35
35
30
30
32
31
31
34
37
33
31
33
34
36
38
36
31
31
30
29
31
34
36
30
30
30
29
31
35
36
31
30
32
30
32
34
35
30
30
30
29
29
31
33
28
27
27
30
37
34
33
28
26
26
26
26
29
30
26
27
27
28
32
36
39
32
30
28
31
34
36
37
31
30
31
30
33
38
37
31
32
31
31
33
37
37
32
35
34
31
31
35
36
28
27
28
28
34
43
39
32
30
29
29
30
37
35
30
30
31
30
31
34
37
29
29
28
28
29
33
33
28
28
28
29
30
33
34
30
29
41
47
39
43
40
33
31
28
31
36
40
38
92
100
72
68
70
74
100
91
76
71
71
73
75
81
82
70
74
73
77
77
82
84
76
70
72
75
87
90
92
83
81
75
79
89
91
92
77
73
75
76
82
84
82
74
75
74
75
75
84
90
80
79
76
72
75
84
81
71
72
69
69
70
78
86
69
67
67
68
71
79
78
70
65
65
66
71
77
85
65
68
67
66
69
80
80
68
68
68
69
71
80
75
64
64
65
65
69
75
74
66
66
63
64
66
78
78
68
65
66
67
75
87
87
71
70
73
69
75
82
83
69
69
68
70
78
84
85
72
67
65
69
76
85
87
70
69
66
67
68
79
79
68
67
68
71
71
78
80
64
66
65
64
68
81
82
66
67
65
69
67
79
80
68
70
69
70
68
80
79
68
72
71
68
74
82
80
72
74
76
76
82
86
87
80
80
80
79
79
82
82
67
69
69
70
72
81
77
65
64
64
64
67
74
80
68
67
66
65
69
80
78
65
66
64
62
67
76
79
67
66
64
66
70
80
79
74
71
68
66
65
79
75
65
65
67
67
65
78
85
68
66
71
65
67
76
75
68
65
67
67
72
83
84
68
63
63
64
65
75
76
64
61
100
71
57
59
68
65
51
46
46
46
48
55
54
41
39
38
37
37
44
43
36
35
34
34
33
39
40
33
32
30
31
31
37
39
33
33
32
31
33
35
39
50
37
36
37
38
44
