['Apink']
50
53
43
55
64
62
47
43
52
56
53
62
65
49
46
45
48
56
69
66
48
50
47
42
48
64
60
48
45
44
50
55
66
63
62
64
61
54
59
74
61
48
48
47
55
50
68
57
55
44
50
47
52
63
55
37
45
43
44
47
55
49
39
35
37
43
43
56
50
42
41
42
40
46
57
53
46
46
39
48
43
54
61
59
46
48
47
54
59
55
41
43
41
41
46
52
57
45
41
44
58
61
71
59
45
39
45
50
48
52
62
42
48
37
45
44
63
60
39
46
39
44
46
56
61
46
44
43
39
43
55
55
39
39
41
40
40
48
44
42
38
50
47
47
60
50
37
42
39
42
42
56
57
39
40
42
43
40
40
38
32
34
31
35
32
47
50
32
35
30
31
45
53
50
38
35
35
36
36
45
52
37
40
35
35
41
58
45
34
35
38
50
51
63
92
99
76
68
67
75
100
87
64
60
64
64
70
81
79
54
51
50
55
55
77
76
47
43
47
51
52
69
67
46
39
44
38
49
53
65
51
41
37
38
42
55
55
39
39
30
36
38
52
59
37
36
44
44
42
58
61
58
45
40
38
41
43
55
54
39
40
41
44
45
48
45
41
43
44
40
47
47
51
42
45
73
100
75
84
77
60
60
58
62
68
71
64
61
57
55
58
56
64
31
33
31
40
46
41
35
33
30
32
36
42
40
36
38
65
100
77
85
83
57
57
54
59
66
77
72
50
49
52
57
59
63
70
49
54
50
48
58
65
59
44
46
49
46
47
56
59
44
41
42
38
42
55
51
38
38
38
37
41
57
61
40
34
37
40
40
51
50
34
31
30
32
35
45
45
29
30
31
35
30
40
40
33
33
31
33
32
40
44
30
34
29
30
35
42
43
30
31
28
30
32
36
39
30
29
33
30
30
39
39
32
33
29
29
32
37
37
26
25
30
25
32
41
41
30
30
30
32
32
51
41
30
33
32
31
30
43
39
31
26
28
29
35
42
40
28
29
28
30
30
40
39
27
25
28
28
31
36
36
28
28
28
29
33
34
32
28
30
29
29
33
31
32
28
33
32
34
35
39
35
33
32
34
38
46
37
39
31
29
32
27
36
40
38
27
30
25
29
29
39
32
27
25
27
28
31
37
44
28
26
25
27
32
35
35
28
26
26
29
32
41
40
29
32
31
30
33
40
37
26
25
27
26
27
36
41
27
28
29
34
32
40
39
29
23
30
26
28
38
36
25
26
26
28
30
32
36
27
27
